"MS1.MS2" "AT" "BE" "BG" "CH" "CY" "CZ" "DE" "DK" "EE" "EL" "ES" "FI" "FR" "HR" "HU" "IE" "IS" "IT" "LI" "LT" "LU" "LV" "ME" "MK" "MT" "NL" "NO" "PL" "PT" "RO" "SE" "SI" "SK" "TR" "UK"
"BE-HR" 219372.537030466 142008.090742275 0 0 0 0 510635.797575537 0 0 0 0 0 0 89658.3631024675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 115605.621625144 0 0 0
"BE-HU" 211927.734638803 128200.189251308 0 0 0 51488.4913037321 580518.96908887 0 0 0 0 0 0 0 171535.094433457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE-IE" 0 119625.958926833 0 0 0 0 0 0 0 0 0 0 0 0 0 140004.223141366 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 351550.136771326
"BE-IS" 0 53844.9327419649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 153457.748929588 0 0 0 0 0 0 0 0 15674.1115344183 0 0 0 0 0 0 0 0 122900.60667354
"BE-IT" 0 168947.535651446 0 152061.623871262 0 0 71372.2226161389 0 0 0 0 0 185453.725437912 0 0 0 0 400353.574589574 0 0 23640.9986655283 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE-LI" 0 135079.476328737 0 79894.2459156185 0 0 15486.3420549118 0 0 0 0 0 253606.362324735 0 0 0 0 0 7213.83600511545 0 62822.7706909591 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE-LT" 0 90463.9801519956 0 0 0 0 602292.89772186 0 0 0 0 0 0 0 0 0 0 0 0 123095.866670849 0 0 0 0 0 47670.4304171644 0 526134.719226807 0 0 0 0 0 0 0
"BE-LU" 0 135362.061518624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29886.5021963414 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"BE-LV" 0 89921.0803958353 0 0 0 0 567284.144187622 0 0 0 0 0 0 0 0 0 0 0 0 84634.3435007255 0 11981.0048063235 0 0 0 53486.9072872595 0 0 0 0 0 0 0 0 0
"BE-ME" 167794.582426234 131515.48521686 0 0 0 0 492147.935434085 0 0 0 0 0 0 57700.9518073692 0 0 0 29323.4559776588 0 0 11027.1171735673 0 65599.995115045 0 0 0 0 0 0 0 0 167026.149458798 0 0 0
"BE-MK" 195791.588750692 141095.825282349 0 0 0 0 504023.818131446 0 0 0 0 0 0 4574.54227148705 0 0 0 0 0 0 0 0 223119.392343912 86109.4901880174 0 0 0 0 0 0 0 140076.265735445 0 0 0
"BE-MT" 0 166089.340706549 0 141617.176659279 0 0 0 0 0 0 0 0 264624.001968102 0 0 0 0 265472.262307778 0 0 0 0 0 0 8196.14126524914 0 0 0 0 0 0 0 0 0 0
